onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007938723	5	1	1	15.55	150	12.95	77
32.011585701	5	1	1	6.17	78	17.4	129
45.017031912	5	2	1	21.75	119	21.58	49
56.021873033	5	1	1	3.62	104	17.51	138
71.027018193	5	1	1	19.16	46	27.1	180
86.031306827	5	2	1	33.3	69	22.37	42
97.035761512	5	2	1	17.13	91	6.98	83
112.039818491	5	2	1	13.28	139	5.37	123
123.041685172	5	2	1	33.29	170	26.26	36
136.044146237	5	1	1	25.7	5	27.22	131
147.048727151	5	1	1	36.64	87	30.59	21
160.055442576	5	2	1	22.62	45	25.2	169
173.058357177	5	1	1	26.03	31	30.4	174
188.06429145	5	1	1	15.63	142	12.95	27
199.068206447	5	2	1	1.31	61	5.36	157
218.073876487	5	2	0	36.64	87	30.59	21
233.080793808	5	2	0	38.74	124	28.83	50
246.083712241	5	1	0	15.86	150	10.71	91
257.090067213	5	2	0	17.52	71	23.76	176
268.093920195	5	1	0	31.27	139	19.85	71
281.098637278	5	2	0	12.16	179	9.98	14
294.104578188	5	2	0	26.03	31	30.4	174
309.111310643	5	1	0	14.09	91	30.65	154
320.115479719	5	1	0	16.89	13	17.55	125
335.11837301	5	2	0	21.75	119	21.58	49
348.124249751	5	1	0	3.62	104	17.51	138
361.127479287	5	2	0	17.13	91	6.98	83
376.132071971	5	1	0	27.14	36	28.57	112
391.135046577	5	1	0	3.42	57	39.63	79
402.137890568	5	2	0	19.3	75	24.5	120
