onset	duration	delay_later	delay_sooner	amount_later	amount_sooner	choice	subjID	run	modulation
218.07185412200002	5.0	132.0	21.0	16.31	12.65	0	1	1	-2.600490928786158
231.077068265	5.0	154.0	16.0	27.53	21.56	0	1	1	-6.230580205683365
242.08036743099998	5.0	108.0	96.0	15.77	5.87	1	1	1	5.42455488655817
255.083958534	5.0	90.0	84.0	12.06	9.17	1	1	1	1.610895086208953
270.088601815	5.0	115.0	31.0	28.26	4.01	1	1	1	12.243543601624708
283.094410906	5.0	159.0	84.0	20.26	19.91	0	1	1	-2.956793144371206
298.098434921	5.0	178.0	42.0	10.4	10.25	0	1	1	-3.3046860126242334
309.101121377	5.0	168.0	89.0	23.26	21.87	0	1	1	-2.796569397795876
324.105271777	5.0	13.0	4.0	12.81	5.05	1	1	1	6.813361319305501
339.108987206	5.0	130.0	30.0	38.91	30.97	0	1	1	-5.319951757883523
352.112524545	5.0	111.0	52.0	32.17	14.93	1	1	1	7.065763588176047
363.1158433	5.0	80.0	14.0	28.11	17.57	1	1	1	1.9243649915515935
374.11898548199997	5.0	168.0	119.0	31.17	26.33	0	1	1	-0.06215191304654688
389.121609214	5.0	156.0	109.0	29.75	14.61	1	1	1	5.863226455985046
400.127081135	5.0	173.0	120.0	17.86	14.7	0	1	1	0.07445906753123754
17.00668043	5.0	140.0	110.0	11.84	1.15	1	1	2	5.280720770289671
32.010072649	5.0	41.0	8.0	16.14	15.53	0	1	2	-2.202977022668872
43.0133846	5.0	52.0	12.0	23.87	16.92	1	1	2	1.8271399507248134
58.016514312	5.0	72.0	24.0	38.35	27.75	1	1	2	1.645502261808634
69.01895790100001	5.0	127.0	55.0	14.66	8.8	0	1	2	1.3722492966993762
84.02224710600001	5.0	83.0	57.0	37.59	30.09	1	1	2	2.2199264579498426
97.02645613899999	5.0	101.0	80.0	8.08	7.43	0	1	2	-0.03396867887194599
108.031981365	5.0	151.0	123.0	32.97	1.82	1	1	2	14.906752090383652
121.038072591	5.0	111.0	74.0	15.15	12.8	1	1	2	0.07785195190181327
136.042253076	5.0	149.0	6.0	33.76	12.89	1	1	2	4.008027513870029
147.045025575	5.0	156.0	12.0	18.58	17.81	0	1	2	-7.6102231641251326
162.048139123	5.0	114.0	20.0	30.89	30.48	0	1	2	-9.636415469235956
175.05006414099998	5.0	135.0	103.0	10.76	10.61	0	1	2	-0.6347654543118866
188.053778265	5.0	99.0	14.0	16.57	16.39	0	1	2	-5.189021166588089
199.05813792799998	5.0	110.0	22.0	36.58	36.03	0	1	2	-10.643795064852732
218.07514215700002	5.0	54.0	16.0	22.06	16.6	1	1	3	1.0272710071158535
229.08217321200001	5.0	171.0	81.0	15.25	5.64	1	1	3	3.296449872290121
244.08617068900003	5.0	157.0	51.0	28.97	22.82	0	1	3	-3.0659509635972615
259.09119589200003	5.0	128.0	42.0	36.03	35.15	0	1	3	-8.211965410012006
272.09548727099997	5.0	63.0	34.0	34.29	16.4	1	1	3	10.4612680086532
283.098147829	5.0	176.0	71.0	25.34	11.94	1	1	3	3.3106361388627494
294.103503304	5.0	179.0	111.0	22.3	21.4	0	1	3	-2.1490433126303667
307.105445179	5.0	163.0	151.0	36.47	2.27	1	1	3	15.773718078888503
318.108614025	5.0	105.0	22.0	14.19	4.65	1	1	3	4.09521921921749
333.111969661	5.0	38.0	8.0	32.51	28.72	1	1	3	-1.590870109903669
346.11696613199996	5.0	169.0	19.0	27.01	14.34	0	1	3	-0.3797286345681776
361.121948393	5.0	122.0	64.0	29.33	21.09	0	1	3	1.2038542781725798
374.125864472	5.0	150.0	27.0	19.62	19.25	0	1	3	-6.66195846386638
385.13052407099997	5.0	140.0	56.0	23.33	6.92	1	1	3	6.729939682213187
400.135690007	5.0	142.0	102.0	16.44	12.25	0	1	3	1.07690630302886
17.005680449	5.0	75.0	37.0	13.64	12.26	0	1	4	-0.8134249990371369
32.008017903	5.0	121.0	95.0	29.5	22.82	0	1	4	2.232107328422339
47.013361436000004	5.0	49.0	13.0	24.19	19.72	0	1	4	-0.12043825139045694
60.020240734	5.0	33.0	12.0	38.44	32.02	1	1	4	1.6217654160522024
75.027032479	5.0	14.0	11.0	35.41	28.53	1	1	4	5.741015097878346
86.030385666	5.0	174.0	163.0	31.76	24.43	1	1	4	2.8758511898744885
101.03553283	5.0	16.0	6.0	34.11	23.93	1	1	4	7.668834731083464
114.042142267	5.0	169.0	41.0	37.56	16.99	1	1	4	3.887208090432102
125.045166847	5.0	127.0	45.0	26.19	25.08	0	1	4	-5.243493942810488
140.051506969	5.0	86.0	7.0	34.35	33.09	0	1	4	-10.223891398931091
151.056264064	5.0	137.0	15.0	19.44	11.36	0	1	4	-0.42855406223422676
162.059675437	5.0	43.0	21.0	24.14	18.0	0	1	4	2.8196370417874945
175.064675656	5.0	133.0	94.0	26.53	25.02	0	1	4	-1.3630165807284182
186.069769286	5.0	165.0	7.0	20.0	19.64	0	1	4	-9.517243941843653
199.074711452	5.0	156.0	88.0	28.86	28.7	0	1	4	-3.972112404876503
218.06630875	5.0	150.0	4.0	21.95	20.51	0	1	5	-9.335035192105378
229.06829207099997	5.0	123.0	58.0	25.74	21.75	0	1	5	-1.67352783125388
